Package        LibPath                        Version
BH             /usr/local/lib/R/site-library    1.69.0-1
BiasedUrn      /usr/local/lib/R/site-library        1.07
CCP            /usr/local/lib/R/site-library         1.1
DBI            /usr/local/lib/R/site-library       1.0.0
DT             /usr/local/lib/R/site-library         0.8
EpiStats       /usr/local/lib/R/site-library       1.3-1
FactoMineR     /usr/local/lib/R/site-library        1.42
Formula        /usr/local/lib/R/site-library       1.2-3
GADMTools      /usr/local/lib/R/site-library       3.7-1
Hmisc          /usr/local/lib/R/site-library       4.2-0
ISOweek        /usr/local/lib/R/site-library       0.6-2
MatrixModels   /usr/local/lib/R/site-library       0.4-1
ModelMetrics   /usr/local/lib/R/site-library       1.2.2
NLP            /usr/local/lib/R/site-library       0.2-0
R6             /usr/local/lib/R/site-library       2.4.0
RColorBrewer   /usr/local/lib/R/site-library       1.1-2
RJSONIO        /usr/local/lib/R/site-library     1.3-1.2
ROCR           /usr/local/lib/R/site-library       1.0-7
RSclient       /usr/local/lib/R/site-library       0.7-3
Rcpp           /usr/local/lib/R/site-library       1.0.2
RcppArmadillo  /usr/local/lib/R/site-library 0.9.600.4.0
RcppEigen      /usr/local/lib/R/site-library   0.3.3.5.0
RgoogleMaps    /usr/local/lib/R/site-library       1.4.4
Rserve         /usr/local/lib/R/site-library     1.7-3.1
SQUAREM        /usr/local/lib/R/site-library   2017.10-1
SparseM        /usr/local/lib/R/site-library        1.77
TH.data        /usr/local/lib/R/site-library      1.0-10
TSA            /usr/local/lib/R/site-library         1.2
TTR            /usr/local/lib/R/site-library      0.23-4
XML            /usr/local/lib/R/site-library   3.98-1.20
abind          /usr/local/lib/R/site-library       1.4-5
acepack        /usr/local/lib/R/site-library       1.4.1
askpass        /usr/local/lib/R/site-library         1.1
assertthat     /usr/local/lib/R/site-library       0.2.1
backports      /usr/local/lib/R/site-library       1.1.4
base64enc      /usr/local/lib/R/site-library       0.1-3
bindr          /usr/local/lib/R/site-library       0.1.1
bindrcpp       /usr/local/lib/R/site-library       0.2.2
bit            /usr/local/lib/R/site-library      1.1-14
bitops         /usr/local/lib/R/site-library       1.0-6
blockrand      /usr/local/lib/R/site-library         1.3
broom          /usr/local/lib/R/site-library       0.5.2
caTools        /usr/local/lib/R/site-library    1.17.1.2
callr          /usr/local/lib/R/site-library       3.3.1
car            /usr/local/lib/R/site-library       3.0-3
carData        /usr/local/lib/R/site-library       3.0-2
caret          /usr/local/lib/R/site-library      6.0-84
cartogram      /usr/local/lib/R/site-library       0.1.1
cellranger     /usr/local/lib/R/site-library       1.1.0
checkmate      /usr/local/lib/R/site-library       1.9.4
chron          /usr/local/lib/R/site-library      2.3-54
classInt       /usr/local/lib/R/site-library       0.4-1
cli            /usr/local/lib/R/site-library       1.1.0
clipr          /usr/local/lib/R/site-library       0.7.0
clusteval      /usr/local/lib/R/site-library         0.1
coda           /usr/local/lib/R/site-library      0.19-3
colorRamps     /usr/local/lib/R/site-library         2.3
colorspace     /usr/local/lib/R/site-library       1.4-1
crayon         /usr/local/lib/R/site-library       1.3.4
crosstalk      /usr/local/lib/R/site-library       1.0.0
curl           /usr/local/lib/R/site-library         4.0
data.table     /usr/local/lib/R/site-library      1.12.2
dataframes2xls /usr/local/lib/R/site-library       0.4.7
dbplyr         /usr/local/lib/R/site-library       1.4.2
deldir         /usr/local/lib/R/site-library      0.1-23
diagram        /usr/local/lib/R/site-library       1.6.4
dichromat      /usr/local/lib/R/site-library       2.0-0
digest         /usr/local/lib/R/site-library      0.6.20
doParallel     /usr/local/lib/R/site-library      1.0.15
docopt         /usr/local/lib/R/site-library       0.6.1
dplyr          /usr/local/lib/R/site-library       0.8.3
e1071          /usr/local/lib/R/site-library       1.7-2
ellipse        /usr/local/lib/R/site-library       0.4.1
ellipsis       /usr/local/lib/R/site-library     0.2.0.1
emmeans        /usr/local/lib/R/site-library         1.4
epiR           /usr/local/lib/R/site-library       1.0-4
estimability   /usr/local/lib/R/site-library         1.3
evaluate       /usr/local/lib/R/site-library        0.14
expm           /usr/local/lib/R/site-library     0.999-4
fBasics        /usr/local/lib/R/site-library     3042.89
fansi          /usr/local/lib/R/site-library       0.4.0
fastmatch      /usr/local/lib/R/site-library       1.1-0
ff             /usr/local/lib/R/site-library      2.2-14
ffbase         /usr/local/lib/R/site-library      0.12.7
flashClust     /usr/local/lib/R/site-library      1.01-2
flextable      /usr/local/lib/R/site-library       0.5.5
forcats        /usr/local/lib/R/site-library       0.4.0
foreach        /usr/local/lib/R/site-library       1.4.7
forecast       /usr/local/lib/R/site-library         8.9
formatR        /usr/local/lib/R/site-library         1.7
fracdiff       /usr/local/lib/R/site-library       1.4-2
fs             /usr/local/lib/R/site-library       1.3.1
gdata          /usr/local/lib/R/site-library      2.18.0
gdtools        /usr/local/lib/R/site-library       0.1.9
generics       /usr/local/lib/R/site-library       0.0.2
geosphere      /usr/local/lib/R/site-library      1.5-10
ggmap          /usr/local/lib/R/site-library       3.0.0
ggplot2        /usr/local/lib/R/site-library       3.2.1
ggspatial      /usr/local/lib/R/site-library       1.0.3
glmnet         /usr/local/lib/R/site-library      2.0-18
glue           /usr/local/lib/R/site-library       1.3.1
goftest        /usr/local/lib/R/site-library       1.1-1
gower          /usr/local/lib/R/site-library       0.2.1
gpclib         /usr/local/lib/R/site-library       1.5-5
gplots         /usr/local/lib/R/site-library     3.0.1.1
graphicsQC     /usr/local/lib/R/site-library       1.0-8
gridBase       /usr/local/lib/R/site-library       0.4-7
gridExtra      /usr/local/lib/R/site-library         2.3
gss            /usr/local/lib/R/site-library      2.1-10
gtable         /usr/local/lib/R/site-library       0.3.0
gtools         /usr/local/lib/R/site-library       3.8.1
haven          /usr/local/lib/R/site-library       2.1.1
hexbin         /usr/local/lib/R/site-library      1.27.3
highr          /usr/local/lib/R/site-library         0.8
hms            /usr/local/lib/R/site-library       0.5.1
htmlTable      /usr/local/lib/R/site-library      1.13.1
htmltools      /usr/local/lib/R/site-library       0.3.6
htmlwidgets    /usr/local/lib/R/site-library         1.3
httpuv         /usr/local/lib/R/site-library       1.5.1
httr           /usr/local/lib/R/site-library       1.4.1
igraph         /usr/local/lib/R/site-library     1.2.4.1
ipred          /usr/local/lib/R/site-library       0.9-9
iterators      /usr/local/lib/R/site-library      1.0.12
itertools      /usr/local/lib/R/site-library       0.1-3
janitor        /usr/local/lib/R/site-library       1.2.0
jomo           /usr/local/lib/R/site-library       2.6-9
jpeg           /usr/local/lib/R/site-library       0.1-8
jsonlite       /usr/local/lib/R/site-library         1.6
knitr          /usr/local/lib/R/site-library        1.24
labeling       /usr/local/lib/R/site-library         0.3
later          /usr/local/lib/R/site-library       0.8.0
latticeExtra   /usr/local/lib/R/site-library      0.6-28
lava           /usr/local/lib/R/site-library       1.6.6
lazyeval       /usr/local/lib/R/site-library       0.2.2
leaps          /usr/local/lib/R/site-library         3.0
littler        /usr/local/lib/R/site-library       0.3.8
lme4           /usr/local/lib/R/site-library      1.1-21
lmtest         /usr/local/lib/R/site-library      0.9-37
locfit         /usr/local/lib/R/site-library     1.5-9.1
lsmeans        /usr/local/lib/R/site-library      2.30-0
lubridate      /usr/local/lib/R/site-library       1.7.4
magrittr       /usr/local/lib/R/site-library         1.5
mapproj        /usr/local/lib/R/site-library       1.2.6
maps           /usr/local/lib/R/site-library       3.3.0
maptools       /usr/local/lib/R/site-library       0.9-5
markdown       /usr/local/lib/R/site-library         1.1
memoise        /usr/local/lib/R/site-library       1.1.0
mfp            /usr/local/lib/R/site-library       1.5.2
mgcv           /usr/local/lib/R/site-library      1.8-28
mice           /usr/local/lib/R/site-library       3.6.0
mime           /usr/local/lib/R/site-library         0.7
minqa          /usr/local/lib/R/site-library       1.2.4
missForest     /usr/local/lib/R/site-library         1.4
missMDA        /usr/local/lib/R/site-library        1.14
mitml          /usr/local/lib/R/site-library       0.3-7
modelr         /usr/local/lib/R/site-library       0.1.5
msm            /usr/local/lib/R/site-library       1.6.7
multcomp       /usr/local/lib/R/site-library      1.4-10
munsell        /usr/local/lib/R/site-library       0.5.0
mvtnorm        /usr/local/lib/R/site-library      1.0-11
network        /usr/local/lib/R/site-library        1.15
nloptr         /usr/local/lib/R/site-library       1.2.1
numDeriv       /usr/local/lib/R/site-library  2016.8-1.1
officer        /usr/local/lib/R/site-library       0.3.5
openssl        /usr/local/lib/R/site-library       1.4.1
openxlsx       /usr/local/lib/R/site-library     4.1.0.1
ordinal        /usr/local/lib/R/site-library   2019.4-25
outliers       /usr/local/lib/R/site-library        0.14
pROC           /usr/local/lib/R/site-library      1.15.3
packcircles    /usr/local/lib/R/site-library       0.3.3
pan            /usr/local/lib/R/site-library         1.6
pander         /usr/local/lib/R/site-library       0.6.3
pbkrtest       /usr/local/lib/R/site-library       0.4-7
pec            /usr/local/lib/R/site-library  2018.07.26
pillar         /usr/local/lib/R/site-library       1.4.2
pixmap         /usr/local/lib/R/site-library      0.4-11
pkgconfig      /usr/local/lib/R/site-library       2.0.2
plogr          /usr/local/lib/R/site-library       0.2.0
plotly         /usr/local/lib/R/site-library       4.9.0
plotrix        /usr/local/lib/R/site-library       3.7-6
plyr           /usr/local/lib/R/site-library       1.8.4
png            /usr/local/lib/R/site-library       0.1-7
polspline      /usr/local/lib/R/site-library      1.1.15
polyCub        /usr/local/lib/R/site-library       0.7.1
polyclip       /usr/local/lib/R/site-library      1.10-0
praise         /usr/local/lib/R/site-library       1.0.0
prettymapr     /usr/local/lib/R/site-library       0.2.2
prettyunits    /usr/local/lib/R/site-library       1.0.2
processx       /usr/local/lib/R/site-library       3.4.1
prodlim        /usr/local/lib/R/site-library  2018.04.18
progress       /usr/local/lib/R/site-library       1.2.2
promises       /usr/local/lib/R/site-library       1.0.1
proto          /usr/local/lib/R/site-library       1.0.0
ps             /usr/local/lib/R/site-library       1.3.0
purrr          /usr/local/lib/R/site-library       0.3.2
qcc            /usr/local/lib/R/site-library         2.7
quadprog       /usr/local/lib/R/site-library       1.5-7
quantmod       /usr/local/lib/R/site-library      0.4-15
quantreg       /usr/local/lib/R/site-library        5.51
rJava          /usr/local/lib/R/site-library      0.9-11
randomForest   /usr/local/lib/R/site-library      4.6-14
randomizeR     /usr/local/lib/R/site-library       1.4.2
raster         /usr/local/lib/R/site-library       3.0-2
readr          /usr/local/lib/R/site-library       1.3.1
readxl         /usr/local/lib/R/site-library       1.3.1
recipes        /usr/local/lib/R/site-library       0.1.6
regtest        /usr/local/lib/R/site-library        0.05
rematch        /usr/local/lib/R/site-library       1.0.1
reprex         /usr/local/lib/R/site-library       0.3.0
reshape2       /usr/local/lib/R/site-library       1.4.3
rgdal          /usr/local/lib/R/site-library       1.4-4
rgeos          /usr/local/lib/R/site-library       0.5-1
rio            /usr/local/lib/R/site-library      0.5.16
riverplot      /usr/local/lib/R/site-library         0.6
rjson          /usr/local/lib/R/site-library      0.2.20
rlang          /usr/local/lib/R/site-library       0.4.0
rmarkdown      /usr/local/lib/R/site-library        1.15
rms            /usr/local/lib/R/site-library     5.1-3.1
rosm           /usr/local/lib/R/site-library       0.2.5
rpart          /usr/local/lib/R/site-library      4.1-15
rpart.plot     /usr/local/lib/R/site-library       3.0.8
rstudioapi     /usr/local/lib/R/site-library        0.10
rvest          /usr/local/lib/R/site-library       0.3.4
rvg            /usr/local/lib/R/site-library       0.2.1
sandwich       /usr/local/lib/R/site-library       2.5-1
scales         /usr/local/lib/R/site-library       1.0.0
scatterplot3d  /usr/local/lib/R/site-library      0.3-41
selectr        /usr/local/lib/R/site-library       0.4-1
sf             /usr/local/lib/R/site-library       0.7-7
sfsmisc        /usr/local/lib/R/site-library       1.1-4
shape          /usr/local/lib/R/site-library       1.4.4
shiny          /usr/local/lib/R/site-library       1.3.2
slam           /usr/local/lib/R/site-library      0.1-45
sna            /usr/local/lib/R/site-library         2.4
snakecase      /usr/local/lib/R/site-library      0.11.0
snow           /usr/local/lib/R/site-library       0.4-3
snowfall       /usr/local/lib/R/site-library    1.84-6.1
sourcetools    /usr/local/lib/R/site-library       0.1.7
sp             /usr/local/lib/R/site-library       1.3-1
spatstat       /usr/local/lib/R/site-library      1.60-1
spatstat.data  /usr/local/lib/R/site-library       1.4-0
spatstat.utils /usr/local/lib/R/site-library      1.13-0
stabledist     /usr/local/lib/R/site-library       0.7-1
statnet.common /usr/local/lib/R/site-library       4.3.0
stringi        /usr/local/lib/R/site-library       1.4.3
stringr        /usr/local/lib/R/site-library       1.4.0
surveillance   /usr/local/lib/R/site-library      1.17.0
sys            /usr/local/lib/R/site-library         3.3
tabplot        /usr/local/lib/R/site-library       1.3-2
tensor         /usr/local/lib/R/site-library         1.5
testthat       /usr/local/lib/R/site-library       2.2.1
tibble         /usr/local/lib/R/site-library       2.1.3
tidyr          /usr/local/lib/R/site-library       0.8.3
tidyselect     /usr/local/lib/R/site-library       0.2.5
tidyverse      /usr/local/lib/R/site-library       1.2.1
timeDate       /usr/local/lib/R/site-library    3043.102
timeROC        /usr/local/lib/R/site-library         0.3
timeSeries     /usr/local/lib/R/site-library    3042.102
timeline       /usr/local/lib/R/site-library         0.9
timereg        /usr/local/lib/R/site-library       1.9.4
tinytex        /usr/local/lib/R/site-library        0.15
tm             /usr/local/lib/R/site-library       0.7-6
treemap        /usr/local/lib/R/site-library       2.4-2
tseries        /usr/local/lib/R/site-library     0.10-47
ucminf         /usr/local/lib/R/site-library       1.1-4
units          /usr/local/lib/R/site-library       0.6-4
urca           /usr/local/lib/R/site-library       1.3-0
utf8           /usr/local/lib/R/site-library       1.1.4
uuid           /usr/local/lib/R/site-library       0.1-2
vctrs          /usr/local/lib/R/site-library       0.2.0
viridis        /usr/local/lib/R/site-library       0.5.1
viridisLite    /usr/local/lib/R/site-library       0.3.0
whisker        /usr/local/lib/R/site-library         0.4
withr          /usr/local/lib/R/site-library       2.1.2
xfun           /usr/local/lib/R/site-library         0.9
xlsx           /usr/local/lib/R/site-library       0.6.1
xlsxjars       /usr/local/lib/R/site-library       0.6.1
xml2           /usr/local/lib/R/site-library       1.2.2
xtable         /usr/local/lib/R/site-library       1.8-4
xts            /usr/local/lib/R/site-library      0.11-2
yaml           /usr/local/lib/R/site-library       2.2.0
zeallot        /usr/local/lib/R/site-library       0.1.0
zip            /usr/local/lib/R/site-library       2.0.4
zoo            /usr/local/lib/R/site-library       1.8-6
KernSmooth                /usr/lib/R/library     2.23-15
MASS                      /usr/lib/R/library    7.3-51.4
Matrix                    /usr/lib/R/library      1.2-17
base                      /usr/lib/R/library       3.6.1
boot                      /usr/lib/R/library      1.3-22
class                     /usr/lib/R/library      7.3-15
cluster                   /usr/lib/R/library       2.1.0
codetools                 /usr/lib/R/library      0.2-16
compiler                  /usr/lib/R/library       3.6.1
datasets                  /usr/lib/R/library       3.6.1
foreign                   /usr/lib/R/library      0.8-71
grDevices                 /usr/lib/R/library       3.6.1
graphics                  /usr/lib/R/library       3.6.1
grid                      /usr/lib/R/library       3.6.1
lattice                   /usr/lib/R/library     0.20-38
methods                   /usr/lib/R/library       3.6.1
mgcv.1                    /usr/lib/R/library      1.8-28
nlme                      /usr/lib/R/library     3.1-140
nnet                      /usr/lib/R/library      7.3-12
parallel                  /usr/lib/R/library       3.6.1
rpart.1                   /usr/lib/R/library      4.1-15
spatial                   /usr/lib/R/library      7.3-11
splines                   /usr/lib/R/library       3.6.1
stats                     /usr/lib/R/library       3.6.1
stats4                    /usr/lib/R/library       3.6.1
survival                  /usr/lib/R/library    2.44-1.1
tcltk                     /usr/lib/R/library       3.6.1
tools                     /usr/lib/R/library       3.6.1
utils                     /usr/lib/R/library       3.6.1
