"LibPath","Version","Packages"
"/usr/local/lib/R/site-library","1.69.0-1","BH"
"/usr/local/lib/R/site-library","1.07","BiasedUrn"
"/usr/local/lib/R/site-library","1.1","CCP"
"/usr/local/lib/R/site-library","1.0.0","DBI"
"/usr/local/lib/R/site-library","0.8","DT"
"/usr/local/lib/R/site-library","1.3-1","EpiStats"
"/usr/local/lib/R/site-library","1.42","FactoMineR"
"/usr/local/lib/R/site-library","1.2-3","Formula"
"/usr/local/lib/R/site-library","3.7-1","GADMTools"
"/usr/local/lib/R/site-library","4.2-0","Hmisc"
"/usr/local/lib/R/site-library","0.6-2","ISOweek"
"/usr/local/lib/R/site-library","0.4-1","MatrixModels"
"/usr/local/lib/R/site-library","1.2.2","ModelMetrics"
"/usr/local/lib/R/site-library","0.2-0","NLP"
"/usr/local/lib/R/site-library","2.4.0","R6"
"/usr/local/lib/R/site-library","1.1-2","RColorBrewer"
"/usr/local/lib/R/site-library","1.3-1.2","RJSONIO"
"/usr/local/lib/R/site-library","1.0-7","ROCR"
"/usr/local/lib/R/site-library","0.7-3","RSclient"
"/usr/local/lib/R/site-library","1.0.2","Rcpp"
"/usr/local/lib/R/site-library","0.9.600.4.0","RcppArmadillo"
"/usr/local/lib/R/site-library","0.3.3.5.0","RcppEigen"
"/usr/local/lib/R/site-library","1.4.4","RgoogleMaps"
"/usr/local/lib/R/site-library","1.7-3.1","Rserve"
"/usr/local/lib/R/site-library","2017.10-1","SQUAREM"
"/usr/local/lib/R/site-library","1.77","SparseM"
"/usr/local/lib/R/site-library","1.0-10","TH.data"
"/usr/local/lib/R/site-library","1.2","TSA"
"/usr/local/lib/R/site-library","0.23-4","TTR"
"/usr/local/lib/R/site-library","3.98-1.20","XML"
"/usr/local/lib/R/site-library","1.4-5","abind"
"/usr/local/lib/R/site-library","1.4.1","acepack"
"/usr/local/lib/R/site-library","1.1","askpass"
"/usr/local/lib/R/site-library","0.2.1","assertthat"
"/usr/local/lib/R/site-library","1.1.4","backports"
"/usr/local/lib/R/site-library","0.1-3","base64enc"
"/usr/local/lib/R/site-library","0.1.1","bindr"
"/usr/local/lib/R/site-library","0.2.2","bindrcpp"
"/usr/local/lib/R/site-library","1.1-14","bit"
"/usr/local/lib/R/site-library","1.0-6","bitops"
"/usr/local/lib/R/site-library","1.3","blockrand"
"/usr/local/lib/R/site-library","0.5.2","broom"
"/usr/local/lib/R/site-library","1.17.1.2","caTools"
"/usr/local/lib/R/site-library","3.3.1","callr"
"/usr/local/lib/R/site-library","3.0-3","car"
"/usr/local/lib/R/site-library","3.0-2","carData"
"/usr/local/lib/R/site-library","6.0-84","caret"
"/usr/local/lib/R/site-library","0.1.1","cartogram"
"/usr/local/lib/R/site-library","1.1.0","cellranger"
"/usr/local/lib/R/site-library","1.9.4","checkmate"
"/usr/local/lib/R/site-library","2.3-54","chron"
"/usr/local/lib/R/site-library","0.4-1","classInt"
"/usr/local/lib/R/site-library","1.1.0","cli"
"/usr/local/lib/R/site-library","0.7.0","clipr"
"/usr/local/lib/R/site-library","0.1","clusteval"
"/usr/local/lib/R/site-library","0.19-3","coda"
"/usr/local/lib/R/site-library","2.3","colorRamps"
"/usr/local/lib/R/site-library","1.4-1","colorspace"
"/usr/local/lib/R/site-library","1.3.4","crayon"
"/usr/local/lib/R/site-library","1.0.0","crosstalk"
"/usr/local/lib/R/site-library","4.0","curl"
"/usr/local/lib/R/site-library","1.12.2","data.table"
"/usr/local/lib/R/site-library","0.4.7","dataframes2xls"
"/usr/local/lib/R/site-library","1.4.2","dbplyr"
"/usr/local/lib/R/site-library","0.1-23","deldir"
"/usr/local/lib/R/site-library","1.6.4","diagram"
"/usr/local/lib/R/site-library","2.0-0","dichromat"
"/usr/local/lib/R/site-library","0.6.20","digest"
"/usr/local/lib/R/site-library","1.0.15","doParallel"
"/usr/local/lib/R/site-library","0.6.1","docopt"
"/usr/local/lib/R/site-library","0.8.3","dplyr"
"/usr/local/lib/R/site-library","1.7-2","e1071"
"/usr/local/lib/R/site-library","0.4.1","ellipse"
"/usr/local/lib/R/site-library","0.2.0.1","ellipsis"
"/usr/local/lib/R/site-library","1.4","emmeans"
"/usr/local/lib/R/site-library","1.0-4","epiR"
"/usr/local/lib/R/site-library","1.3","estimability"
"/usr/local/lib/R/site-library","0.14","evaluate"
